Buy/Sell Threshold 0.005 within a look ahead day count: 1
Technical Indicators: ['VWMA_10', 'VWAP', 'VWAP_signal', 'SMA_10', 'EMA_10', 'bb_upper', 'bb_lower', 'bb_width', 'Close']
Model Class Weight: {0: 1.1, -1: 1.1, 1: 1}
--------------------------------------------------
Highest % gain: ('SMCI.csv', {'final_portfolio_value': 39854.461192829855, 'Percent gain': 298.54461192829854, 'total_trades': 101})
Lowest % gain: ('EL.csv', {'final_portfolio_value': 3720.4434468680456, 'Percent gain': -62.79556553131954, 'total_trades': 120})
Number of stocks with a positive gain 265
Number of stocks with a negative gain 235
Sum of the Top 100 portfolios: 1,644,583.18
Sum of the Bottom 100 portfolios: 686,890.19
--------------------------------------------------
HPE.csv: {'final_portfolio_value': 14150.2679786146, 'Percent gain': 41.502679786146004, 'total_trades': 51}
GOOGL.csv: {'final_portfolio_value': 14113.534397842423, 'Percent gain': 41.135343978424224, 'total_trades': 91}
WMB.csv: {'final_portfolio_value': 14063.963243223761, 'Percent gain': 40.63963243223761, 'total_trades': 113}
BKR.csv: {'final_portfolio_value': 14061.412076231385, 'Percent gain': 40.61412076231385, 'total_trades': 137}
RL.csv: {'final_portfolio_value': 14035.709314617645, 'Percent gain': 40.35709314617645, 'total_trades': 124}
SNA.csv: {'final_portfolio_value': 14020.437981152863, 'Percent gain': 40.20437981152863, 'total_trades': 116}
STLD.csv: {'final_portfolio_value': 14016.134503048284, 'Percent gain': 40.16134503048285, 'total_trades': 64}
CRM.csv: {'final_portfolio_value': 14011.713520312222, 'Percent gain': 40.11713520312222, 'total_trades': 127}
FI.csv: {'final_portfolio_value': 14004.999682777885, 'Percent gain': 40.04999682777885, 'total_trades': 119}
GDDY.csv: {'final_portfolio_value': 13987.812364537405, 'Percent gain': 39.87812364537405, 'total_trades': 62}
DE.csv: {'final_portfolio_value': 13981.939219448159, 'Percent gain': 39.81939219448159, 'total_trades': 59}
RSG.csv: {'final_portfolio_value': 13950.912742448028, 'Percent gain': 39.50912742448028, 'total_trades': 61}
WAB.csv: {'final_portfolio_value': 13903.79246571917, 'Percent gain': 39.03792465719171, 'total_trades': 99}
CDW.csv: {'final_portfolio_value': 13756.752019167006, 'Percent gain': 37.56752019167006, 'total_trades': 79}
HES.csv: {'final_portfolio_value': 13711.660945539887, 'Percent gain': 37.116609455398866, 'total_trades': 105}
VMC.csv: {'final_portfolio_value': 13554.807881257415, 'Percent gain': 35.54807881257415, 'total_trades': 76}
ZBH.csv: {'final_portfolio_value': 13454.007495053438, 'Percent gain': 34.540074950534375, 'total_trades': 82}
LRCX.csv: {'final_portfolio_value': 13452.580953591307, 'Percent gain': 34.52580953591306, 'total_trades': 123}
TTWO.csv: {'final_portfolio_value': 13377.58076661117, 'Percent gain': 33.7758076661117, 'total_trades': 116}
BG.csv: {'final_portfolio_value': 13373.187336893398, 'Percent gain': 33.731873368933975, 'total_trades': 116}
FTNT.csv: {'final_portfolio_value': 13369.843452976409, 'Percent gain': 33.698434529764086, 'total_trades': 116}
CF.csv: {'final_portfolio_value': 13350.78762048631, 'Percent gain': 33.507876204863095, 'total_trades': 58}
BK.csv: {'final_portfolio_value': 13284.595894564583, 'Percent gain': 32.84595894564583, 'total_trades': 106}
SYF.csv: {'final_portfolio_value': 13210.55841342964, 'Percent gain': 32.1055841342964, 'total_trades': 74}
CDNS.csv: {'final_portfolio_value': 13163.259684836185, 'Percent gain': 31.632596848361846, 'total_trades': 106}
FCX.csv: {'final_portfolio_value': 13146.154865974648, 'Percent gain': 31.461548659746477, 'total_trades': 127}
WMT.csv: {'final_portfolio_value': 13125.527748997923, 'Percent gain': 31.255277489979232, 'total_trades': 77}
HIG.csv: {'final_portfolio_value': 13049.653472560889, 'Percent gain': 30.496534725608893, 'total_trades': 83}
CSGP.csv: {'final_portfolio_value': 13040.219339241607, 'Percent gain': 30.402193392416066, 'total_trades': 127}
PH.csv: {'final_portfolio_value': 13032.791271687252, 'Percent gain': 30.327912716872525, 'total_trades': 103}
ABBV.csv: {'final_portfolio_value': 12993.681174819316, 'Percent gain': 29.936811748193158, 'total_trades': 71}
XYL.csv: {'final_portfolio_value': 12969.707173320992, 'Percent gain': 29.69707173320992, 'total_trades': 89}
VRTX.csv: {'final_portfolio_value': 12957.895775995046, 'Percent gain': 29.578957759950463, 'total_trades': 93}
QCOM.csv: {'final_portfolio_value': 12954.09947138802, 'Percent gain': 29.54099471388021, 'total_trades': 91}
ED.csv: {'final_portfolio_value': 12949.495160265527, 'Percent gain': 29.494951602655277, 'total_trades': 92}
WTW.csv: {'final_portfolio_value': 12905.155320005322, 'Percent gain': 29.05155320005322, 'total_trades': 106}
MSFT.csv: {'final_portfolio_value': 12853.008941651417, 'Percent gain': 28.530089416514162, 'total_trades': 119}
ROL.csv: {'final_portfolio_value': 12849.447786290842, 'Percent gain': 28.494477862908422, 'total_trades': 104}
AXON.csv: {'final_portfolio_value': 12838.875295520891, 'Percent gain': 28.38875295520891, 'total_trades': 116}
OXY.csv: {'final_portfolio_value': 12837.966519808248, 'Percent gain': 28.379665198082478, 'total_trades': 111}
HCA.csv: {'final_portfolio_value': 12814.508265458786, 'Percent gain': 28.14508265458786, 'total_trades': 98}
ADBE.csv: {'final_portfolio_value': 12810.52851296046, 'Percent gain': 28.1052851296046, 'total_trades': 116}
LIN.csv: {'final_portfolio_value': 12800.472804094528, 'Percent gain': 28.004728040945285, 'total_trades': 66}
APH.csv: {'final_portfolio_value': 12764.92608488538, 'Percent gain': 27.64926084885379, 'total_trades': 105}
WM.csv: {'final_portfolio_value': 12687.509604461178, 'Percent gain': 26.87509604461178, 'total_trades': 85}
WRK.csv: {'final_portfolio_value': 12674.75580305133, 'Percent gain': 26.7475580305133, 'total_trades': 62}
DVN.csv: {'final_portfolio_value': 12650.240553507268, 'Percent gain': 26.502405535072683, 'total_trades': 129}
IR.csv: {'final_portfolio_value': 12626.660099808794, 'Percent gain': 26.26660099808794, 'total_trades': 40}
NVR.csv: {'final_portfolio_value': 12618.859914434552, 'Percent gain': 26.188599144345517, 'total_trades': 95}
JKHY.csv: {'final_portfolio_value': 12588.294419812028, 'Percent gain': 25.882944198120274, 'total_trades': 108}
MMC.csv: {'final_portfolio_value': 12586.824598667694, 'Percent gain': 25.86824598667694, 'total_trades': 79}
HLT.csv: {'final_portfolio_value': 12553.272732119885, 'Percent gain': 25.532727321198852, 'total_trades': 81}
EXPD.csv: {'final_portfolio_value': 12550.658675900733, 'Percent gain': 25.506586759007334, 'total_trades': 78}
SO.csv: {'final_portfolio_value': 12531.795735464, 'Percent gain': 25.317957354640004, 'total_trades': 72}
BLDR.csv: {'final_portfolio_value': 12531.180046253785, 'Percent gain': 25.31180046253785, 'total_trades': 131}
TPR.csv: {'final_portfolio_value': 12504.230431183809, 'Percent gain': 25.042304311838087, 'total_trades': 125}
WDC.csv: {'final_portfolio_value': 12475.90108683646, 'Percent gain': 24.7590108683646, 'total_trades': 124}
PGR.csv: {'final_portfolio_value': 12471.78743766031, 'Percent gain': 24.717874376603106, 'total_trades': 102}
