Date,share_amount,bs_signal,cash_earned,holding,bankroll,cumulative_percentage,close
2019-04-27,21.353118469175286,1,-3409.945368584467,21.353118469175286,2270.102917013059,148.24789950386128,158.4349365
2019-04-29,21.353118469175286,-1,3287.526369954996,0.0,5557.629286968055,507.75649701657335,155.2019958
2019-05-02,18.39742573309049,1,-3007.5051523862244,18.39742573309049,2550.1241345818303,178.86971781746738,162.1227875
2019-05-21,18.39742573309049,-1,4661.888646011378,0.0,7212.012780593208,688.6721833444375,255.2158813
2019-06-05,17.104903550887318,1,-4256.862618409337,17.104903550887318,2955.1501621838706,223.16148091025983,247.0510101
2019-06-26,17.104903550887318,-1,5721.379905512673,0.0,8676.530067696543,848.8249841649674,336.7531738
2019-07-15,22.561614267426364,1,-5219.988089986143,22.561614267426364,3456.5419777104007,277.9913584898465,229.776001
2019-07-20,22.561614267426364,-1,5133.502895987833,0.0,8590.044873698233,839.3673654872582,229.1192169
2019-08-30,27.555738161143953,1,-4685.581300925622,27.555738161143953,3904.463572772611,326.9739813847243,168.8348694
2019-09-16,27.555738161143953,-1,5394.491026768911,0.0,9298.954599541521,916.8904368244869,197.1131744
2019-10-01,27.56528387862987,1,-4922.831315288924,27.56528387862987,4376.123284252597,378.5524943138058,177.3404236
2019-10-03,27.56528387862987,-1,4795.322466678316,0.0,9171.445750930914,902.9466620297352,175.1993408
2019-11-21,26.919387538352215,1,-4378.159996090992,26.919387538352215,4793.285754839922,424.17144237956404,161.4627228
2019-11-24,26.919387538352215,-1,3815.8475701853413,0.0,8609.133325025265,841.454789767102,142.8347015
2019-12-19,26.759124679073807,1,-3487.773017319237,26.759124679073807,5121.360307706027,460.048150003393,129.3211365
2020-02-13,26.759124679073807,-1,7128.28056977836,0.0,12249.640877484388,1239.5637681102726,268.0992432
2020-03-12,57.47090660804409,1,-6498.924422476909,57.47090660804409,5750.7164550074785,528.87161189868,112.3471222
2020-05-01,57.47090660804409,-1,12239.859117494012,0.0,17990.57557250149,1867.3656922195298,214.219101
2020-05-17,53.48667380367101,1,-11145.580499269683,53.48667380367101,6844.995073231807,648.5368334224734,207.1586914
2020-05-18,53.48667380367101,-1,11406.91047598016,0.0,18251.905549211966,1895.9435233432082,214.5250549
2020-05-29,46.7964319315835,1,-10388.392513089502,46.7964319315835,7863.513036122464,759.9172219500754,220.6751251
2020-05-30,46.7964319315835,-1,11274.254655166103,0.0,19137.767691288565,1992.8172881282264,242.3455963
2020-06-19,44.93658142394281,1,-10267.80237246004,44.93658142394281,8869.965318828525,869.978163795563,227.1382904
