Buy/Sell Threshold 0.005 within a look ahead day count: 1
Technical Indicators: ['VWMA_10', 'VWAP', 'SMA_10', 'EMA_10', 'bb_upper', 'bb_lower', 'bb_width', 'RSI', 'AMO', 'Close']
Model Parameters: {'learning_rate': 0.5, 'max_iter': 300, 'min_samples_leaf': 10, 'max_depth': None, 'max_leaf_nodes': 15, 'warm_start': False, 'random_state': 63, 'verbose': 0, 'tol': 1e-06}
--------------------------------------------------
Highest % gain: ('SMCI', {'final_portfolio_value': 76459.20660643035, 'Portfolio cumulative percent gain': 664.5920660643036, 'Stock percent gain': 1858.3561629258563, 'total_trades': 68, 'winning_trades': 47, 'losing_trades': 20, 'sharpe_ratio': 1.7790703284015563})
Lowest % gain: ('MTCH', {'final_portfolio_value': 2509.132849942746, 'Portfolio cumulative percent gain': -74.90867150057255, 'Stock percent gain': -68.4947816674355, 'total_trades': 47, 'winning_trades': 20, 'losing_trades': 26, 'sharpe_ratio': -1.511239122555197})
Number of stocks with a positive gain 305
Number of stocks with a negative gain 176
Win/Loss Ratio: 1.26
--------------------------------------------------
Top 100 Portfolios that perform better than their stock
POOL: {'final_portfolio_value': 8783.387065248393, 'Portfolio cumulative percent gain': -12.16612934751607, 'Stock percent gain': -27.875662045637622, 'total_trades': 14, 'winning_trades': 4, 'losing_trades': 9, 'sharpe_ratio': -0.18159513800708968}
SYK: {'final_portfolio_value': 15340.921507911908, 'Portfolio cumulative percent gain': 53.40921507911908, 'Stock percent gain': 37.84371975110461, 'total_trades': 28, 'winning_trades': 20, 'losing_trades': 7, 'sharpe_ratio': 1.676218780406586}
SBAC: {'final_portfolio_value': 8127.103201294181, 'Portfolio cumulative percent gain': -18.728967987058187, 'Stock percent gain': -34.28373586775716, 'total_trades': 16, 'winning_trades': 10, 'losing_trades': 5, 'sharpe_ratio': -1.4335284878938732}
TMO: {'final_portfolio_value': 11105.705962914988, 'Portfolio cumulative percent gain': 11.057059629149881, 'Stock percent gain': -4.477045797437955, 'total_trades': 16, 'winning_trades': 9, 'losing_trades': 6, 'sharpe_ratio': 0.8239670688552082}
ALB: {'final_portfolio_value': 6083.589315613287, 'Portfolio cumulative percent gain': -39.16410684386713, 'Stock percent gain': -54.628326803417906, 'total_trades': 21, 'winning_trades': 12, 'losing_trades': 8, 'sharpe_ratio': -1.0507458462117432}
FRT: {'final_portfolio_value': 10371.128959111105, 'Portfolio cumulative percent gain': 3.7112895911110537, 'Stock percent gain': -11.677954765139358, 'total_trades': 41, 'winning_trades': 27, 'losing_trades': 13, 'sharpe_ratio': 0.0745455404520902}
MDT: {'final_portfolio_value': 9175.892289559753, 'Portfolio cumulative percent gain': -8.241077104402466, 'Stock percent gain': -23.10675345322028, 'total_trades': 34, 'winning_trades': 21, 'losing_trades': 12, 'sharpe_ratio': -0.5114183372113574}
USB: {'final_portfolio_value': 9193.568423003397, 'Portfolio cumulative percent gain': -8.064315769966035, 'Stock percent gain': -22.4517915021053, 'total_trades': 70, 'winning_trades': 40, 'losing_trades': 30, 'sharpe_ratio': -0.5247396451263068}
WBA: {'final_portfolio_value': 3641.122772210054, 'Portfolio cumulative percent gain': -63.58877227789946, 'Stock percent gain': -77.60602378961983, 'total_trades': 39, 'winning_trades': 17, 'losing_trades': 21, 'sharpe_ratio': -1.8675695217537913}
C: {'final_portfolio_value': 11363.158157054813, 'Portfolio cumulative percent gain': 13.631581570548134, 'Stock percent gain': -0.29371221863588154, 'total_trades': 37, 'winning_trades': 22, 'losing_trades': 14, 'sharpe_ratio': 0.2655051127052131}
MMM: {'final_portfolio_value': 9065.17017541848, 'Portfolio cumulative percent gain': -9.348298245815204, 'Stock percent gain': -23.026286123489083, 'total_trades': 36, 'winning_trades': 16, 'losing_trades': 19, 'sharpe_ratio': -0.18606069401690045}
IQV: {'final_portfolio_value': 12306.081810753181, 'Portfolio cumulative percent gain': 23.060818107531812, 'Stock percent gain': 9.467900656443966, 'total_trades': 28, 'winning_trades': 16, 'losing_trades': 11, 'sharpe_ratio': 0.8277231233823732}
TRGP: {'final_portfolio_value': 24732.029771080703, 'Portfolio cumulative percent gain': 147.320297710807, 'Stock percent gain': 133.7688677981163, 'total_trades': 26, 'winning_trades': 20, 'losing_trades': 5, 'sharpe_ratio': 2.5501544352296923}
CSX: {'final_portfolio_value': 11367.236847402453, 'Portfolio cumulative percent gain': 13.672368474024534, 'Stock percent gain': 0.23234974048313545, 'total_trades': 13, 'winning_trades': 7, 'losing_trades': 5, 'sharpe_ratio': 0.6091958515885632}
TAP: {'final_portfolio_value': 12215.236067409147, 'Portfolio cumulative percent gain': 22.15236067409147, 'Stock percent gain': 8.919309933041422, 'total_trades': 52, 'winning_trades': 35, 'losing_trades': 17, 'sharpe_ratio': 0.42635914956479676}
WAT: {'final_portfolio_value': 11012.750064890652, 'Portfolio cumulative percent gain': 10.127500648906516, 'Stock percent gain': -3.0668268902093203, 'total_trades': 39, 'winning_trades': 18, 'losing_trades': 20, 'sharpe_ratio': 0.2046408123057491}
BR: {'final_portfolio_value': 14583.421205836532, 'Portfolio cumulative percent gain': 45.834212058365324, 'Stock percent gain': 32.81219840009881, 'total_trades': 38, 'winning_trades': 26, 'losing_trades': 11, 'sharpe_ratio': 0.6692682160506244}
EMN: {'final_portfolio_value': 9531.726563966457, 'Portfolio cumulative percent gain': -4.682734360335434, 'Stock percent gain': -17.659504732348516, 'total_trades': 12, 'winning_trades': 6, 'losing_trades': 5, 'sharpe_ratio': -0.1394605306441458}
MKC: {'final_portfolio_value': 8763.584538605239, 'Portfolio cumulative percent gain': -12.364154613947612, 'Stock percent gain': -25.246871835729497, 'total_trades': 42, 'winning_trades': 27, 'losing_trades': 14, 'sharpe_ratio': -0.5875149516260639}
MGM: {'final_portfolio_value': 11799.962915260723, 'Portfolio cumulative percent gain': 17.99962915260723, 'Stock percent gain': 5.140522062795424, 'total_trades': 56, 'winning_trades': 30, 'losing_trades': 25, 'sharpe_ratio': 0.3171002320302937}
UPS: {'final_portfolio_value': 8598.933340094429, 'Portfolio cumulative percent gain': -14.010666599055712, 'Stock percent gain': -26.769234463666457, 'total_trades': 46, 'winning_trades': 30, 'losing_trades': 16, 'sharpe_ratio': -2.44634617076209}
BKR: {'final_portfolio_value': 14374.530401480959, 'Portfolio cumulative percent gain': 43.74530401480959, 'Stock percent gain': 31.296023739889343, 'total_trades': 80, 'winning_trades': 48, 'losing_trades': 31, 'sharpe_ratio': 1.0315553023166002}
