Buy/Sell Threshold 0.005 within a look ahead day count: 1
Technical Indicators: ['VWMA_10', 'VWAP', 'SMA_10', 'EMA_10', 'bb_upper', 'bb_lower', 'bb_width', 'RSI', 'AMO', 'Close']
Model Class Weight: {0: 1.1, -1: 1.1, 1: 1}
--------------------------------------------------
Highest % gain: ('LLY', {'final_portfolio_value': 22672.819975666032, 'Portfolio cumulative percent gain': 126.72819975666032, 'Stock percent gain': 231.27694350685087, 'total_trades': 107, 'winning_trades': 68, 'losing_trades': 39, 'sharpe_ratio': 3.077763533383227})
Lowest % gain: ('ENPH', {'final_portfolio_value': 3109.3949732264923, 'Portfolio cumulative percent gain': -68.90605026773508, 'Stock percent gain': -64.4208001609092, 'total_trades': 63, 'winning_trades': 25, 'losing_trades': 37, 'sharpe_ratio': -4.025844455973758})
Number of stocks with a positive gain 278
Number of stocks with a negative gain 219
Win/Loss Ratio: 0.98
--------------------------------------------------
Top 100 Portfolios that perform better than their stock
CF: {'final_portfolio_value': 14247.497255437864, 'Portfolio cumulative percent gain': 42.47497255437864, 'Stock percent gain': 2.7836404237151084, 'total_trades': 110, 'winning_trades': 54, 'losing_trades': 56, 'sharpe_ratio': 0.4674020651065581}
CHRW: {'final_portfolio_value': 11797.353911919045, 'Portfolio cumulative percent gain': 17.973539119190445, 'Stock percent gain': -21.371622508497694, 'total_trades': 108, 'winning_trades': 55, 'losing_trades': 53, 'sharpe_ratio': 0.550304852212859}
PODD: {'final_portfolio_value': 11386.681153873447, 'Portfolio cumulative percent gain': 13.866811538734474, 'Stock percent gain': -25.38840606420172, 'total_trades': 137, 'winning_trades': 71, 'losing_trades': 65, 'sharpe_ratio': 0.41218724055573347}
GEN: {'final_portfolio_value': 12901.298047709004, 'Portfolio cumulative percent gain': 29.01298047709004, 'Stock percent gain': -8.775894503430571, 'total_trades': 119, 'winning_trades': 65, 'losing_trades': 53, 'sharpe_ratio': 0.9492414016000605}
JCI: {'final_portfolio_value': 12233.9969267783, 'Portfolio cumulative percent gain': 22.339969267783, 'Stock percent gain': -15.148118899285526, 'total_trades': 107, 'winning_trades': 61, 'losing_trades': 46, 'sharpe_ratio': 0.49936825611453084}
JBL: {'final_portfolio_value': 19624.092717408264, 'Portfolio cumulative percent gain': 96.24092717408264, 'Stock percent gain': 58.774022987497055, 'total_trades': 109, 'winning_trades': 66, 'losing_trades': 42, 'sharpe_ratio': 0.6958636498669254}
SWKS: {'final_portfolio_value': 10314.42071971742, 'Portfolio cumulative percent gain': 3.1442071971742007, 'Stock percent gain': -34.02790868005088, 'total_trades': 127, 'winning_trades': 67, 'losing_trades': 59, 'sharpe_ratio': 0.10300661509571249}
CCL: {'final_portfolio_value': 10973.140774745276, 'Portfolio cumulative percent gain': 9.731407747452758, 'Stock percent gain': -26.046939561185184, 'total_trades': 152, 'winning_trades': 82, 'losing_trades': 70, 'sharpe_ratio': 0.23462594163164519}
CRL: {'final_portfolio_value': 9586.55569019833, 'Portfolio cumulative percent gain': -4.134443098016709, 'Stock percent gain': -39.15518509701051, 'total_trades': 113, 'winning_trades': 57, 'losing_trades': 55, 'sharpe_ratio': -0.0883805315317813}
CMCSA: {'final_portfolio_value': 11147.66567795182, 'Portfolio cumulative percent gain': 11.476656779518198, 'Stock percent gain': -23.33133971882814, 'total_trades': 117, 'winning_trades': 58, 'losing_trades': 58, 'sharpe_ratio': 0.22949188445249805}
LVS: {'final_portfolio_value': 15340.609029507701, 'Portfolio cumulative percent gain': 53.40609029507701, 'Stock percent gain': 18.753233390106487, 'total_trades': 143, 'winning_trades': 69, 'losing_trades': 73, 'sharpe_ratio': 0.689677688664179}
EXPE: {'final_portfolio_value': 10263.004114743984, 'Portfolio cumulative percent gain': 2.6300411474398424, 'Stock percent gain': -31.099959764275297, 'total_trades': 126, 'winning_trades': 61, 'losing_trades': 64, 'sharpe_ratio': 0.26157025506657866}
WEC: {'final_portfolio_value': 11519.040483521354, 'Portfolio cumulative percent gain': 15.19040483521354, 'Stock percent gain': -18.382885130608315, 'total_trades': 105, 'winning_trades': 58, 'losing_trades': 47, 'sharpe_ratio': 1.1441392663684233}
AZO: {'final_portfolio_value': 17711.595476970833, 'Portfolio cumulative percent gain': 77.11595476970834, 'Stock percent gain': 43.749554027460654, 'total_trades': 133, 'winning_trades': 80, 'losing_trades': 53, 'sharpe_ratio': 0.9340084074202758}
BBY: {'final_portfolio_value': 11910.621913500829, 'Portfolio cumulative percent gain': 19.10621913500829, 'Stock percent gain': -14.019400750748675, 'total_trades': 93, 'winning_trades': 49, 'losing_trades': 44, 'sharpe_ratio': 0.7185124391965115}
CNC: {'final_portfolio_value': 11682.005383119462, 'Portfolio cumulative percent gain': 16.820053831194617, 'Stock percent gain': -16.218551096334938, 'total_trades': 129, 'winning_trades': 66, 'losing_trades': 62, 'sharpe_ratio': 3.9090259000621317}
FTNT: {'final_portfolio_value': 12115.445709635058, 'Portfolio cumulative percent gain': 21.15445709635058, 'Stock percent gain': -11.385506782569188, 'total_trades': 109, 'winning_trades': 57, 'losing_trades': 51, 'sharpe_ratio': 0.3721596034976361}
AME: {'final_portfolio_value': 14728.110041608737, 'Portfolio cumulative percent gain': 47.28110041608738, 'Stock percent gain': 15.456227255170523, 'total_trades': 93, 'winning_trades': 47, 'losing_trades': 45, 'sharpe_ratio': 1.0223080013234764}
NFLX: {'final_portfolio_value': 14716.496639160383, 'Portfolio cumulative percent gain': 47.164966391603826, 'Stock percent gain': 16.065290836663245, 'total_trades': 117, 'winning_trades': 60, 'losing_trades': 56, 'sharpe_ratio': 1.338868295762703}
COF: {'final_portfolio_value': 12111.079299928051, 'Portfolio cumulative percent gain': 21.110792999280513, 'Stock percent gain': -9.513721604164704, 'total_trades': 107, 'winning_trades': 57, 'losing_trades': 49, 'sharpe_ratio': 0.3565167028775871}
SWK: {'final_portfolio_value': 7442.552848724645, 'Portfolio cumulative percent gain': -25.57447151275355, 'Stock percent gain': -56.114059968678916, 'total_trades': 118, 'winning_trades': 51, 'losing_trades': 67, 'sharpe_ratio': -0.21345956067650065}
SPGI: {'final_portfolio_value': 12595.056551539135, 'Portfolio cumulative percent gain': 25.950565515391354, 'Stock percent gain': -4.480015174500792, 'total_trades': 111, 'winning_trades': 65, 'losing_trades': 45, 'sharpe_ratio': 0.6141786573548935}
EA: {'final_portfolio_value': 13276.757011546002, 'Portfolio cumulative percent gain': 32.76757011546002, 'Stock percent gain': 2.4307625112577878, 'total_trades': 51, 'winning_trades': 21, 'losing_trades': 30, 'sharpe_ratio': 0.992604983729875}
CBRE: {'final_portfolio_value': 11195.734870590873, 'Portfolio cumulative percent gain': 11.957348705908736, 'Stock percent gain': -18.05984156590863, 'total_trades': 79, 'winning_trades': 38, 'losing_trades': 40, 'sharpe_ratio': 0.22997109302904367}
KEY: {'final_portfolio_value': 8448.20137718189, 'Portfolio cumulative percent gain': -15.517986228181108, 'Stock percent gain': -45.205477241380585, 'total_trades': 135, 'winning_trades': 70, 'losing_trades': 65, 'sharpe_ratio': -0.6736808720528027}
TPR: {'final_portfolio_value': 12963.29634127051, 'Portfolio cumulative percent gain': 29.632963412705106, 'Stock percent gain': -0.02401473196647823, 'total_trades': 131, 'winning_trades': 68, 'losing_trades': 62, 'sharpe_ratio': 0.6503922365942432}
