Buy/Sell Threshold 0.005 within a look ahead day count: 1
Technical Indicators: ['VWMA_10', 'VWAP', 'VWAP_signal', 'SMA_10', 'EMA_10', 'bb_upper', 'bb_lower', 'bb_width', 'Close']
Model Class Weight: {0: 1, -1: 1, 1: 1}
--------------------------------------------------
Highest % gain: ('STLD.csv', {'final_portfolio_value': 40503.71304055729, 'Percent gain': 305.0371304055729, 'total_trades': 94})
Lowest % gain: ('MTCH.csv', {'final_portfolio_value': 2760.906045990114, 'Percent gain': -72.39093954009887, 'total_trades': 125})
Number of stocks with a positive gain 269
Number of stocks with a negative gain 231
Sum of the Top 100 portfolios: 1,572,759.03
Sum of the Bottom 100 portfolios: 666,635.89
--------------------------------------------------
CDNS.csv: {'final_portfolio_value': 13084.946815171317, 'Percent gain': 30.849468151713175, 'total_trades': 108}
NUE.csv: {'final_portfolio_value': 13084.148265023632, 'Percent gain': 30.84148265023632, 'total_trades': 85}
PSX.csv: {'final_portfolio_value': 12996.852542875504, 'Percent gain': 29.96852542875504, 'total_trades': 89}
RL.csv: {'final_portfolio_value': 12985.23670179553, 'Percent gain': 29.85236701795529, 'total_trades': 125}
CPRT.csv: {'final_portfolio_value': 12981.925149945784, 'Percent gain': 29.819251499457845, 'total_trades': 126}
LEN.csv: {'final_portfolio_value': 12981.27859080174, 'Percent gain': 29.812785908017396, 'total_trades': 103}
MRNA.csv: {'final_portfolio_value': 12960.802752353076, 'Percent gain': 29.608027523530765, 'total_trades': 42}
RJF.csv: {'final_portfolio_value': 12935.553819738625, 'Percent gain': 29.35553819738625, 'total_trades': 105}
TRGP.csv: {'final_portfolio_value': 12934.85938457715, 'Percent gain': 29.348593845771504, 'total_trades': 80}
IRM.csv: {'final_portfolio_value': 12917.0469160419, 'Percent gain': 29.170469160419, 'total_trades': 73}
NWS.csv: {'final_portfolio_value': 12865.153971261518, 'Percent gain': 28.65153971261518, 'total_trades': 67}
MS.csv: {'final_portfolio_value': 12829.62422099036, 'Percent gain': 28.296242209903593, 'total_trades': 105}
SYF.csv: {'final_portfolio_value': 12825.830292012988, 'Percent gain': 28.258302920129882, 'total_trades': 69}
VTR.csv: {'final_portfolio_value': 12792.694799668387, 'Percent gain': 27.926947996683868, 'total_trades': 142}
COST.csv: {'final_portfolio_value': 12790.388405427087, 'Percent gain': 27.903884054270875, 'total_trades': 113}
CARR.csv: {'final_portfolio_value': 12731.431200070108, 'Percent gain': 27.314312000701083, 'total_trades': 27}
BEN.csv: {'final_portfolio_value': 12730.314882683804, 'Percent gain': 27.30314882683804, 'total_trades': 142}
ACN.csv: {'final_portfolio_value': 12686.535968202923, 'Percent gain': 26.86535968202923, 'total_trades': 125}
LRCX.csv: {'final_portfolio_value': 12680.058048123994, 'Percent gain': 26.800580481239937, 'total_trades': 128}
ICE.csv: {'final_portfolio_value': 12588.034433558201, 'Percent gain': 25.880344335582013, 'total_trades': 70}
PG.csv: {'final_portfolio_value': 12574.704346136656, 'Percent gain': 25.747043461366555, 'total_trades': 54}
AXP.csv: {'final_portfolio_value': 12573.984414127412, 'Percent gain': 25.739844141274116, 'total_trades': 75}
OKE.csv: {'final_portfolio_value': 12546.030074565471, 'Percent gain': 25.460300745654713, 'total_trades': 105}
FSLR.csv: {'final_portfolio_value': 12545.557889644904, 'Percent gain': 25.45557889644904, 'total_trades': 102}
RF.csv: {'final_portfolio_value': 12501.462854275152, 'Percent gain': 25.014628542751524, 'total_trades': 112}
NWSA.csv: {'final_portfolio_value': 12462.7372584609, 'Percent gain': 24.627372584609, 'total_trades': 72}
TAP.csv: {'final_portfolio_value': 12455.101714780776, 'Percent gain': 24.55101714780776, 'total_trades': 133}
TRV.csv: {'final_portfolio_value': 12452.405539487265, 'Percent gain': 24.524055394872647, 'total_trades': 79}
NDAQ.csv: {'final_portfolio_value': 12435.295232958886, 'Percent gain': 24.352952329588863, 'total_trades': 86}
WMT.csv: {'final_portfolio_value': 12383.319207609724, 'Percent gain': 23.83319207609724, 'total_trades': 106}
