Buy/Sell Threshold 0.005 within a look ahead day count: 1
Technical Indicators: ['VWMA_10', 'VWAP', 'SMA_10', 'EMA_10', 'bb_upper', 'bb_lower', 'bb_width', 'RSI', 'AMO', 'Close']
Model Parameters: {'learning_rate': 0.5, 'max_iter': 300, 'min_samples_leaf': 10, 'max_depth': None, 'max_leaf_nodes': 15, 'warm_start': False, 'random_state': 63, 'verbose': 0, 'tol': 0.01}
--------------------------------------------------
Highest % gain: ('SMCI', {'final_portfolio_value': 106676.52875748397, 'Portfolio cumulative percent gain': 966.7652875748398, 'Stock percent gain': 1858.3561629258563, 'total_trades': 43, 'winning_trades': 31, 'losing_trades': 11, 'sharpe_ratio': 2.520584367034314})
Lowest % gain: ('MTCH', {'final_portfolio_value': 2859.776775228586, 'Portfolio cumulative percent gain': -71.40223224771415, 'Stock percent gain': -68.4947816674355, 'total_trades': 30, 'winning_trades': 16, 'losing_trades': 13, 'sharpe_ratio': -1.5674898511926962})
Number of stocks with a positive gain 264
Number of stocks with a negative gain 175
Win/Loss Ratio: 1.26
--------------------------------------------------
Top 100 Portfolios that perform better than their stock
EBAY: {'final_portfolio_value': 10616.61587843089, 'Portfolio cumulative percent gain': 6.1661587843089, 'Stock percent gain': -6.308656604723247, 'total_trades': 29, 'winning_trades': 15, 'losing_trades': 13, 'sharpe_ratio': 0.14527494787052933}
GPN: {'final_portfolio_value': 8036.114950837393, 'Portfolio cumulative percent gain': -19.638850491626073, 'Stock percent gain': -31.88760114915779, 'total_trades': 37, 'winning_trades': 22, 'losing_trades': 14, 'sharpe_ratio': -0.24428795354675595}
BBY: {'final_portfolio_value': 10319.988486962839, 'Portfolio cumulative percent gain': 3.1998848696283857, 'Stock percent gain': -8.889799630719795, 'total_trades': 24, 'winning_trades': 16, 'losing_trades': 7, 'sharpe_ratio': 0.03651802429075861}
CPB: {'final_portfolio_value': 11638.19768913004, 'Portfolio cumulative percent gain': 16.381976891300404, 'Stock percent gain': 4.522840218881809, 'total_trades': 37, 'winning_trades': 22, 'losing_trades': 14, 'sharpe_ratio': 0.29761606850213757}
ALB: {'final_portfolio_value': 5693.816740340153, 'Portfolio cumulative percent gain': -43.06183259659847, 'Stock percent gain': -54.628326803417906, 'total_trades': 20, 'winning_trades': 11, 'losing_trades': 8, 'sharpe_ratio': -0.533479833891622}
EXPD: {'final_portfolio_value': 12026.018615991536, 'Portfolio cumulative percent gain': 20.260186159915357, 'Stock percent gain': 8.72679299711964, 'total_trades': 19, 'winning_trades': 12, 'losing_trades': 6, 'sharpe_ratio': 0.5343058944740492}
WY: {'final_portfolio_value': 8870.027658066043, 'Portfolio cumulative percent gain': -11.299723419339571, 'Stock percent gain': -22.824718275237363, 'total_trades': 37, 'winning_trades': 22, 'losing_trades': 14, 'sharpe_ratio': -0.3433757069781666}
MGM: {'final_portfolio_value': 11661.252418266155, 'Portfolio cumulative percent gain': 16.61252418266155, 'Stock percent gain': 5.140522062795424, 'total_trades': 31, 'winning_trades': 22, 'losing_trades': 8, 'sharpe_ratio': 0.36151665038387504}
LRCX: {'final_portfolio_value': 18542.14435063162, 'Portfolio cumulative percent gain': 85.42144350631621, 'Stock percent gain': 74.12053534815837, 'total_trades': 18, 'winning_trades': 13, 'losing_trades': 4, 'sharpe_ratio': 0.639630458990094}
JNPR: {'final_portfolio_value': 12198.521529462025, 'Portfolio cumulative percent gain': 21.98521529462025, 'Stock percent gain': 10.764195114215726, 'total_trades': 12, 'winning_trades': 4, 'losing_trades': 7, 'sharpe_ratio': 0.5017983175742204}
NOC: {'final_portfolio_value': 12642.658948976385, 'Portfolio cumulative percent gain': 26.426589489763845, 'Stock percent gain': 15.228824838899767, 'total_trades': 26, 'winning_trades': 17, 'losing_trades': 8, 'sharpe_ratio': 0.35250984386781975}
KIM: {'final_portfolio_value': 9974.902567579278, 'Portfolio cumulative percent gain': -0.25097432420721816, 'Stock percent gain': -11.280997369908206, 'total_trades': 49, 'winning_trades': 34, 'losing_trades': 15, 'sharpe_ratio': -0.11730352965858558}
PLD: {'final_portfolio_value': 9248.013223524225, 'Portfolio cumulative percent gain': -7.519867764757746, 'Stock percent gain': -18.320759863453166, 'total_trades': 4, 'winning_trades': 1, 'losing_trades': 2, 'sharpe_ratio': -0.15006137654020626}
ALGN: {'final_portfolio_value': 6453.325992275931, 'Portfolio cumulative percent gain': -35.46674007724069, 'Stock percent gain': -46.264763740359584, 'total_trades': 70, 'winning_trades': 37, 'losing_trades': 32, 'sharpe_ratio': -0.6876344081461108}
REG: {'final_portfolio_value': 10448.241307982915, 'Portfolio cumulative percent gain': 4.482413079829148, 'Stock percent gain': -6.138506246265133, 'total_trades': 58, 'winning_trades': 37, 'losing_trades': 20, 'sharpe_ratio': 0.10715502041048351}
FRT: {'final_portfolio_value': 9891.071206380006, 'Portfolio cumulative percent gain': -1.089287936199944, 'Stock percent gain': -11.677954765139358, 'total_trades': 50, 'winning_trades': 30, 'losing_trades': 19, 'sharpe_ratio': -0.12193169421413169}
DOC: {'final_portfolio_value': 7052.121252001545, 'Portfolio cumulative percent gain': -29.47878747998455, 'Stock percent gain': -39.868342717044975, 'total_trades': 9, 'winning_trades': 3, 'losing_trades': 5, 'sharpe_ratio': -1.0241425498224244}
SO: {'final_portfolio_value': 12891.319397420504, 'Portfolio cumulative percent gain': 28.913193974205043, 'Stock percent gain': 18.62318619437838, 'total_trades': 8, 'winning_trades': 5, 'losing_trades': 2, 'sharpe_ratio': 1.2908268532928993}
PAYC: {'final_portfolio_value': 6487.487462787699, 'Portfolio cumulative percent gain': -35.125125372123016, 'Stock percent gain': -45.319386344158055, 'total_trades': 25, 'winning_trades': 9, 'losing_trades': 16, 'sharpe_ratio': -3.350671246239652}
BLDR: {'final_portfolio_value': 25249.431794239856, 'Portfolio cumulative percent gain': 152.49431794239857, 'Stock percent gain': 142.4050619813569, 'total_trades': 18, 'winning_trades': 13, 'losing_trades': 4, 'sharpe_ratio': 0.7928158769640852}
DIS: {'final_portfolio_value': 7793.2582206881525, 'Portfolio cumulative percent gain': -22.067417793118477, 'Stock percent gain': -32.099838463550185, 'total_trades': 19, 'winning_trades': 10, 'losing_trades': 8, 'sharpe_ratio': -0.4176903271280608}
MRO: {'final_portfolio_value': 15253.139944922936, 'Portfolio cumulative percent gain': 52.531399449229355, 'Stock percent gain': 42.5403249452935, 'total_trades': 23, 'winning_trades': 15, 'losing_trades': 7, 'sharpe_ratio': 0.7796900573078286}
TFC: {'final_portfolio_value': 7990.477324752011, 'Portfolio cumulative percent gain': -20.095226752479892, 'Stock percent gain': -30.041550817642346, 'total_trades': 68, 'winning_trades': 43, 'losing_trades': 25, 'sharpe_ratio': -0.3008426428382369}
FDX: {'final_portfolio_value': 13549.50335554644, 'Portfolio cumulative percent gain': 35.4950335554644, 'Stock percent gain': 25.59440894228131, 'total_trades': 23, 'winning_trades': 18, 'losing_trades': 4, 'sharpe_ratio': 0.5673941107355903}
UPS: {'final_portfolio_value': 8306.887065933312, 'Portfolio cumulative percent gain': -16.931129340666885, 'Stock percent gain': -26.769234463666457, 'total_trades': 35, 'winning_trades': 23, 'losing_trades': 12, 'sharpe_ratio': -1.6815116635009164}
DHR: {'final_portfolio_value': 11046.951100332068, 'Portfolio cumulative percent gain': 10.469511003320676, 'Stock percent gain': 0.673726626979255, 'total_trades': 26, 'winning_trades': 14, 'losing_trades': 11, 'sharpe_ratio': 0.5989118365463006}
NEE: {'final_portfolio_value': 11023.144041345593, 'Portfolio cumulative percent gain': 10.23144041345593, 'Stock percent gain': 0.5517262425915959, 'total_trades': 16, 'winning_trades': 9, 'losing_trades': 6, 'sharpe_ratio': 0.2333474468705162}
XEL: {'final_portfolio_value': 8930.254552567767, 'Portfolio cumulative percent gain': -10.697454474322331, 'Stock percent gain': -20.18899684817721, 'total_trades': 23, 'winning_trades': 13, 'losing_trades': 9, 'sharpe_ratio': -1.1364102588141292}
WST: {'final_portfolio_value': 9008.493465731848, 'Portfolio cumulative percent gain': -9.915065342681519, 'Stock percent gain': -19.08505966429965, 'total_trades': 25, 'winning_trades': 16, 'losing_trades': 8, 'sharpe_ratio': 0.07338131735939507}
AES: {'final_portfolio_value': 8802.837305511546, 'Portfolio cumulative percent gain': -11.97162694488454, 'Stock percent gain': -20.902931108374528, 'total_trades': 17, 'winning_trades': 9, 'losing_trades': 7, 'sharpe_ratio': -0.11783401266692428}
MTB: {'final_portfolio_value': 10800.13258891267, 'Portfolio cumulative percent gain': 8.001325889126692, 'Stock percent gain': -0.6973976613891484, 'total_trades': 34, 'winning_trades': 24, 'losing_trades': 10, 'sharpe_ratio': 0.21389454673672914}
DUK: {'final_portfolio_value': 11137.350797325764, 'Portfolio cumulative percent gain': 11.373507973257638, 'Stock percent gain': 2.6830874329459284, 'total_trades': 7, 'winning_trades': 3, 'losing_trades': 3, 'sharpe_ratio': 0.5236756193564368}
MO: {'final_portfolio_value': 10620.739803248724, 'Portfolio cumulative percent gain': 6.2073980324872355, 'Stock percent gain': -2.139457262581367, 'total_trades': 19, 'winning_trades': 10, 'losing_trades': 9, 'sharpe_ratio': 0.13841127218749236}
EW: {'final_portfolio_value': 9223.205939207739, 'Portfolio cumulative percent gain': -7.76794060792261, 'Stock percent gain': -16.096123238980923, 'total_trades': 61, 'winning_trades': 37, 'losing_trades': 23, 'sharpe_ratio': -0.44242558516873315}
