Buy/Sell Threshold 0.0066 within a look ahead day count: 1
Technical Indicators: ['SMA_10', 'EMA_10', 'bb_upper', 'bb_lower', 'bb_width', 'close']
Number of stocks with a positive gain 255
Number of stocks with a negative gain 245
Sum of the Top 100 portfolios: 1666989.8702003155
Sum of the Bottom 100 portfolios: 677697.0637406347
GOOG.csv: {'final_portfolio_value': 12794.216258492368, 'Percent gain': 27.94216258492368, 'total_trades': 124}
NRG.csv: {'final_portfolio_value': 12789.952482400644, 'Percent gain': 27.899524824006438, 'total_trades': 117}
HIG.csv: {'final_portfolio_value': 12784.024493141238, 'Percent gain': 27.840244931412382, 'total_trades': 136}
LNT.csv: {'final_portfolio_value': 12778.24185585809, 'Percent gain': 27.782418558580904, 'total_trades': 98}
GDDY.csv: {'final_portfolio_value': 12777.995143556816, 'Percent gain': 27.779951435568165, 'total_trades': 46}
URI.csv: {'final_portfolio_value': 12754.695215952537, 'Percent gain': 27.54695215952537, 'total_trades': 98}
MA.csv: {'final_portfolio_value': 12722.185227196727, 'Percent gain': 27.221852271967272, 'total_trades': 74}
RJF.csv: {'final_portfolio_value': 12706.257898890897, 'Percent gain': 27.06257898890897, 'total_trades': 110}
JNPR.csv: {'final_portfolio_value': 12694.490742301768, 'Percent gain': 26.944907423017685, 'total_trades': 98}
WTW.csv: {'final_portfolio_value': 12624.447890354655, 'Percent gain': 26.24447890354655, 'total_trades': 106}
APD.csv: {'final_portfolio_value': 12529.225156419996, 'Percent gain': 25.29225156419996, 'total_trades': 124}
BDX.csv: {'final_portfolio_value': 12477.78634859856, 'Percent gain': 24.7778634859856, 'total_trades': 120}
FTV.csv: {'final_portfolio_value': 12460.203150230856, 'Percent gain': 24.602031502308563, 'total_trades': 45}
CARR.csv: {'final_portfolio_value': 12430.492573736554, 'Percent gain': 24.30492573736554, 'total_trades': 18}
ITW.csv: {'final_portfolio_value': 12411.734739342244, 'Percent gain': 24.117347393422442, 'total_trades': 91}
MCHP.csv: {'final_portfolio_value': 12360.52567326449, 'Percent gain': 23.605256732644904, 'total_trades': 127}
BRO.csv: {'final_portfolio_value': 12342.572131206669, 'Percent gain': 23.42572131206669, 'total_trades': 95}
MS.csv: {'final_portfolio_value': 12334.127658861518, 'Percent gain': 23.34127658861518, 'total_trades': 131}
ALLE.csv: {'final_portfolio_value': 12329.554083221601, 'Percent gain': 23.29554083221601, 'total_trades': 66}
HON.csv: {'final_portfolio_value': 12283.764447280131, 'Percent gain': 22.837644472801312, 'total_trades': 122}
WMT.csv: {'final_portfolio_value': 12253.750378094324, 'Percent gain': 22.537503780943243, 'total_trades': 81}
IT.csv: {'final_portfolio_value': 12249.645070523351, 'Percent gain': 22.49645070523351, 'total_trades': 122}
HAL.csv: {'final_portfolio_value': 12223.082216343868, 'Percent gain': 22.23082216343868, 'total_trades': 119}
DAL.csv: {'final_portfolio_value': 12180.972771751065, 'Percent gain': 21.80972771751065, 'total_trades': 101}
UAL.csv: {'final_portfolio_value': 12152.88155534445, 'Percent gain': 21.528815553444492, 'total_trades': 115}
VMC.csv: {'final_portfolio_value': 12149.509773883003, 'Percent gain': 21.495097738830026, 'total_trades': 103}
ZTS.csv: {'final_portfolio_value': 12143.127653667192, 'Percent gain': 21.431276536671923, 'total_trades': 72}
MPC.csv: {'final_portfolio_value': 12141.561643696985, 'Percent gain': 21.41561643696985, 'total_trades': 83}
AMZN.csv: {'final_portfolio_value': 12139.287590941307, 'Percent gain': 21.392875909413068, 'total_trades': 102}
ELV.csv: {'final_portfolio_value': 12118.538249533107, 'Percent gain': 21.18538249533107, 'total_trades': 111}
KMI.csv: {'final_portfolio_value': 12102.855681522733, 'Percent gain': 21.02855681522733, 'total_trades': 116}
NCLH.csv: {'final_portfolio_value': 12094.245979726034, 'Percent gain': 20.942459797260344, 'total_trades': 90}
BG.csv: {'final_portfolio_value': 12063.328007884964, 'Percent gain': 20.633280078849637, 'total_trades': 108}
MGM.csv: {'final_portfolio_value': 12007.58103878451, 'Percent gain': 20.075810387845106, 'total_trades': 110}
SCHW.csv: {'final_portfolio_value': 11983.914720629447, 'Percent gain': 19.839147206294474, 'total_trades': 126}
EMR.csv: {'final_portfolio_value': 11982.138892334868, 'Percent gain': 19.821388923348678, 'total_trades': 101}
C.csv: {'final_portfolio_value': 11979.302143785691, 'Percent gain': 19.793021437856915, 'total_trades': 129}
KR.csv: {'final_portfolio_value': 11952.912191328913, 'Percent gain': 19.529121913289128, 'total_trades': 102}
IRM.csv: {'final_portfolio_value': 11914.459840120384, 'Percent gain': 19.14459840120384, 'total_trades': 121}
WM.csv: {'final_portfolio_value': 11906.393669669595, 'Percent gain': 19.063936696695947, 'total_trades': 92}
MRNA.csv: {'final_portfolio_value': 11886.44328415871, 'Percent gain': 18.864432841587096, 'total_trades': 33}
RSG.csv: {'final_portfolio_value': 11868.538091343476, 'Percent gain': 18.685380913434766, 'total_trades': 124}
PAYC.csv: {'final_portfolio_value': 11863.422536537119, 'Percent gain': 18.634225365371183, 'total_trades': 82}
PNW.csv: {'final_portfolio_value': 11832.245292021165, 'Percent gain': 18.322452920211653, 'total_trades': 103}
ADI.csv: {'final_portfolio_value': 11805.114465447223, 'Percent gain': 18.05114465447223, 'total_trades': 93}
HOLX.csv: {'final_portfolio_value': 11764.07735070202, 'Percent gain': 17.640773507020203, 'total_trades': 132}
NWS.csv: {'final_portfolio_value': 11721.146260355697, 'Percent gain': 17.211462603556974, 'total_trades': 75}
UHS.csv: {'final_portfolio_value': 11715.714520862279, 'Percent gain': 17.15714520862279, 'total_trades': 139}
WAB.csv: {'final_portfolio_value': 11708.809862123271, 'Percent gain': 17.08809862123271, 'total_trades': 99}
AMAT.csv: {'final_portfolio_value': 11708.333104605512, 'Percent gain': 17.083331046055118, 'total_trades': 139}
LIN.csv: {'final_portfolio_value': 11698.430173975865, 'Percent gain': 16.98430173975865, 'total_trades': 132}
CFG.csv: {'final_portfolio_value': 11693.379600390588, 'Percent gain': 16.933796003905883, 'total_trades': 83}
IEX.csv: {'final_portfolio_value': 11676.23388245754, 'Percent gain': 16.7623388245754, 'total_trades': 91}
J.csv: {'final_portfolio_value': 11674.765261396376, 'Percent gain': 16.747652613963762, 'total_trades': 81}
AXP.csv: {'final_portfolio_value': 11658.60649806648, 'Percent gain': 16.586064980664798, 'total_trades': 97}
ROP.csv: {'final_portfolio_value': 11608.417900902574, 'Percent gain': 16.08417900902574, 'total_trades': 87}
JBHT.csv: {'final_portfolio_value': 11606.828502790837, 'Percent gain': 16.068285027908367, 'total_trades': 104}
YUM.csv: {'final_portfolio_value': 11590.86801700813, 'Percent gain': 15.908680170081297, 'total_trades': 84}
BEN.csv: {'final_portfolio_value': 11590.566226763933, 'Percent gain': 15.905662267639327, 'total_trades': 114}
IR.csv: {'final_portfolio_value': 11556.461133641833, 'Percent gain': 15.564611336418329, 'total_trades': 42}
LYV.csv: {'final_portfolio_value': 11546.256271310831, 'Percent gain': 15.46256271310831, 'total_trades': 129}
