Buy/Sell Threshold 0.0066 within a look ahead day count: 1
Technical Indicators: ['SMA_10', 'EMA_10', 'bb_upper', 'bb_lower', 'bb_width', 'close']
Highest % gain: ('SMCI.csv', {'final_portfolio_value': 27736.38903095297, 'Percent gain': 177.3638903095297, 'total_trades': 127})
Lowest % gain: ('EL.csv', {'final_portfolio_value': 3076.7412402825457, 'Percent gain': -69.23258759717454, 'total_trades': 80})
Number of stocks with a positive gain 283
Number of stocks with a negative gain 217
Sum of the Top 100 portfolios: 1594192.1488344565
Sum of the Bottom 100 portfolios: 698527.2363158998
--------------------------------------------------
PWR.csv: {'final_portfolio_value': 13422.642818330462, 'Percent gain': 34.22642818330462, 'total_trades': 40}
NXPI.csv: {'final_portfolio_value': 13359.518644455615, 'Percent gain': 33.59518644455615, 'total_trades': 32}
ULTA.csv: {'final_portfolio_value': 13343.378457536059, 'Percent gain': 33.43378457536059, 'total_trades': 48}
AXON.csv: {'final_portfolio_value': 13307.309222730351, 'Percent gain': 33.07309222730352, 'total_trades': 43}
DVA.csv: {'final_portfolio_value': 13266.09641991555, 'Percent gain': 32.6609641991555, 'total_trades': 74}
BMY.csv: {'final_portfolio_value': 13256.486946506042, 'Percent gain': 32.56486946506042, 'total_trades': 84}
AXP.csv: {'final_portfolio_value': 13230.011647783907, 'Percent gain': 32.300116477839076, 'total_trades': 49}
KMI.csv: {'final_portfolio_value': 13202.802289800014, 'Percent gain': 32.028022898000145, 'total_trades': 88}
AIZ.csv: {'final_portfolio_value': 13196.234384570154, 'Percent gain': 31.962343845701543, 'total_trades': 84}
APH.csv: {'final_portfolio_value': 13188.430085555481, 'Percent gain': 31.88430085555481, 'total_trades': 53}
HCA.csv: {'final_portfolio_value': 13178.64444239859, 'Percent gain': 31.786444423985905, 'total_trades': 64}
AOS.csv: {'final_portfolio_value': 13114.515267983823, 'Percent gain': 31.14515267983823, 'total_trades': 80}
WRK.csv: {'final_portfolio_value': 13068.3797720684, 'Percent gain': 30.683797720683994, 'total_trades': 46}
COST.csv: {'final_portfolio_value': 13059.398105532468, 'Percent gain': 30.593981055324676, 'total_trades': 57}
PRU.csv: {'final_portfolio_value': 13010.513792743057, 'Percent gain': 30.105137927430572, 'total_trades': 96}
PSX.csv: {'final_portfolio_value': 12989.95628892044, 'Percent gain': 29.899562889204407, 'total_trades': 67}
YUM.csv: {'final_portfolio_value': 12972.068690678952, 'Percent gain': 29.720686906789524, 'total_trades': 48}
WMT.csv: {'final_portfolio_value': 12956.357818954513, 'Percent gain': 29.56357818954513, 'total_trades': 47}
MA.csv: {'final_portfolio_value': 12935.402673887862, 'Percent gain': 29.35402673887862, 'total_trades': 28}
NWSA.csv: {'final_portfolio_value': 12930.541411934717, 'Percent gain': 29.305414119347166, 'total_trades': 61}
AFL.csv: {'final_portfolio_value': 12875.770123663655, 'Percent gain': 28.757701236636546, 'total_trades': 70}
GOOG.csv: {'final_portfolio_value': 12863.50095059928, 'Percent gain': 28.6350095059928, 'total_trades': 95}
SYK.csv: {'final_portfolio_value': 12851.277441258688, 'Percent gain': 28.51277441258688, 'total_trades': 83}
VMC.csv: {'final_portfolio_value': 12823.458359422475, 'Percent gain': 28.234583594224752, 'total_trades': 60}
PNR.csv: {'final_portfolio_value': 12816.11017992584, 'Percent gain': 28.161101799258393, 'total_trades': 42}
URI.csv: {'final_portfolio_value': 12804.10780065632, 'Percent gain': 28.0410780065632, 'total_trades': 60}
GILD.csv: {'final_portfolio_value': 12784.590137093975, 'Percent gain': 27.845901370939753, 'total_trades': 59}
CAH.csv: {'final_portfolio_value': 12783.879392145327, 'Percent gain': 27.838793921453274, 'total_trades': 43}
RL.csv: {'final_portfolio_value': 12774.595904834097, 'Percent gain': 27.745959048340975, 'total_trades': 47}
AME.csv: {'final_portfolio_value': 12771.113271443875, 'Percent gain': 27.711132714438754, 'total_trades': 33}
TRV.csv: {'final_portfolio_value': 12729.165005239789, 'Percent gain': 27.29165005239789, 'total_trades': 73}
INTU.csv: {'final_portfolio_value': 12700.089069488136, 'Percent gain': 27.000890694881363, 'total_trades': 113}
CMG.csv: {'final_portfolio_value': 12691.733434340022, 'Percent gain': 26.917334343400213, 'total_trades': 40}
BG.csv: {'final_portfolio_value': 12687.59332995338, 'Percent gain': 26.87593329953381, 'total_trades': 67}
ROL.csv: {'final_portfolio_value': 12652.704381200414, 'Percent gain': 26.527043812004138, 'total_trades': 79}
