iter	Passed	Remaining
762	78404	24353
763	78506	24250
764	78622	24151
765	78742	24054
766	78858	23955
767	78949	23849
768	79044	23744
769	79140	23639
770	79252	23539
771	79363	23439
772	79458	23333
773	79557	23229
774	79645	23122
775	79767	23025
776	79853	22918
777	79958	22815
778	80072	22716
779	80181	22615
780	80297	22516
781	80405	22414
782	80498	22309
783	80607	22208
784	80726	22109
785	80841	22010
786	80956	21910
787	81042	21803
788	81135	21697
789	81238	21595
790	81343	21492
791	81460	21393
792	81560	21290
793	81674	21190
794	81772	21085
795	81876	20983
796	81963	20876
797	82063	20773
798	82173	20671
799	82279	20569
800	82369	20463
801	82470	20360
802	82570	20257
803	82673	20154
804	82783	20053
805	82881	19949
806	82985	19846
807	83089	19744
808	83187	19640
809	83296	19538
810	83386	19432
811	83473	19326
812	83585	19225
813	83680	19121
814	83797	19021
815	83896	18917
816	83990	18813
817	84087	18708
818	84190	18606
819	84297	18504
820	84415	18404
821	84501	18298
822	84597	18194
823	84695	18090
824	84804	17988
825	84889	17882
826	84992	17779
827	85096	17676
828	85189	17572
829	85310	17473
830	85407	17369
831	85500	17264
832	85594	17159
833	85693	17056
834	85807	16955
835	85909	16853
836	86011	16750
837	86122	16649
838	86218	16544
839	86325	16442
840	86428	16340
841	86525	16236
842	86619	16132
843	86714	16027
844	86806	15923
845	86912	15820
846	87007	15716
847	87103	15612
848	87212	15511
849	87349	15414
850	87447	15310
851	87555	15209
852	87647	15104
853	87754	15002
854	87871	14902
855	87970	14798
856	88062	14694
857	88162	14591
858	88274	14489
859	88372	14386
860	88471	14282
861	88574	14180
862	88668	14076
863	88768	13972
864	88883	13871
865	88970	13766
866	89059	13662
867	89172	13560
868	89276	13458
869	89381	13355
870	89483	13252
871	89579	13149
872	89680	13046
873	89792	12944
874	89895	12842
875	89987	12737
876	90083	12634
877	90184	12531
878	90292	12429
879	90402	12327
880	90510	12225
881	90617	12123
882	90726	12021
883	90829	11918
884	90927	11815
885	91028	11712
886	91143	11611
887	91248	11508
888	91365	11407
889	91466	11304
890	91570	11202
891	91682	11100
892	91794	10998
893	91903	10896
894	92022	10795
895	92136	10694
896	92244	10592
897	92345	10489
898	92439	10385
899	92550	10283
900	92644	10179
901	92750	10077
902	92853	9974
903	92967	9872
904	93073	9770
905	93185	9668
906	93290	9565
907	93379	9461
908	93473	9357
909	93603	9257
910	93706	9154
911	93816	9052
912	93928	8950
913	94038	8848
914	94141	8745
915	94245	8642
916	94353	8540
917	94450	8436
918	94553	8333
919	94681	8233
920	94786	8130
921	94893	8027
922	94993	7924
923	95094	7821
924	95191	7718
925	95317	7617
926	95416	7513
927	95532	7411
928	95633	7308
929	95745	7206
930	95849	7103
931	95950	7000
932	96057	6898
933	96174	6796
934	96274	6692
935	96382	6590
936	96480	6486
937	96582	6383
938	96707	6282
939	96807	6179
940	96917	6076
941	97017	5973
942	97117	5870
943	97227	5767
944	97325	5664
945	97425	5561
946	97533	5458
947	97635	5355
948	97758	5253
949	97860	5150
950	97970	5047
951	98077	4945
952	98188	4842
953	98305	4740
954	98398	4636
955	98501	4533
956	98606	4430
957	98719	4327
958	98820	4224
959	98917	4121
960	99025	4018
961	99115	3915
962	99243	3813
963	99348	3710
964	99447	3606
965	99550	3503
966	99638	3400
967	99753	3297
968	99857	3194
969	99954	3091
970	100069	2988
971	100174	2885
972	100279	2782
973	100390	2679
974	100507	2577
975	100601	2473
976	100698	2370
977	100803	2267
978	100901	2164
979	101005	2061
980	101117	1958
981	101232	1855
982	101350	1752
983	101433	1649
984	101527	1546
985	101630	1443
