git sBuy/Sell Threshold 0.005 within a look ahead day count: 1
Technical Indicators: ['VWMA_10', 'VWAP', 'SMA_10', 'EMA_10', 'bb_upper', 'bb_lower', 'bb_width', 'RSI', 'AMO', 'Close']
Model Class Weight: {0: 1.1, -1: 1.3, 1: 1}
--------------------------------------------------
Highest % gain: ('FSLR', {'final_portfolio_value': 33111.99455356214, 'Portfolio cumulative percent gain': 231.11994553562138, 'Stock percent gain': 199.9727744290788, 'total_trades': 115, 'winning_trades': 62, 'losing_trades': 52, 'sharpe_ratio': 3.0887389865872876})
Lowest % gain: ('DG', {'final_portfolio_value': 4022.8921774534624, 'Portfolio cumulative percent gain': -59.771078225465374, 'Stock percent gain': -46.01742723861949, 'total_trades': 99, 'winning_trades': 42, 'losing_trades': 57, 'sharpe_ratio': -1.515082083182573})
Number of stocks with a positive gain 298
Number of stocks with a negative gain 199
Win/Loss Ratio: 1.02
--------------------------------------------------
Top 100 Portfolios that perform better than their stock
ABT: {'final_portfolio_value': 11339.864970808374, 'Portfolio cumulative percent gain': 13.39864970808374, 'Stock percent gain': -17.25568210348527, 'total_trades': 114, 'winning_trades': 64, 'losing_trades': 50, 'sharpe_ratio': 0.434434022058282}
NTRS: {'final_portfolio_value': 10484.41929067617, 'Portfolio cumulative percent gain': 4.844192906761691, 'Stock percent gain': -24.645451530978814, 'total_trades': 104, 'winning_trades': 51, 'losing_trades': 53, 'sharpe_ratio': 0.11657077630109519}
UNP: {'final_portfolio_value': 12832.82201476123, 'Portfolio cumulative percent gain': 28.3282201476123, 'Stock percent gain': -1.0816039045823496, 'total_trades': 111, 'winning_trades': 57, 'losing_trades': 53, 'sharpe_ratio': 1.2811046104598283}
LNT: {'final_portfolio_value': 12190.696140078946, 'Portfolio cumulative percent gain': 21.90696140078946, 'Stock percent gain': -7.266904861735385, 'total_trades': 117, 'winning_trades': 68, 'losing_trades': 48, 'sharpe_ratio': 0.8524404436152365}
BIIB: {'final_portfolio_value': 12977.658236867313, 'Portfolio cumulative percent gain': 29.776582368673132, 'Stock percent gain': 0.6305217914892344, 'total_trades': 110, 'winning_trades': 59, 'losing_trades': 51, 'sharpe_ratio': 1.368598401566529}
IVZ: {'final_portfolio_value': 10493.147782351318, 'Portfolio cumulative percent gain': 4.931477823513178, 'Stock percent gain': -24.079188340584672, 'total_trades': 119, 'winning_trades': 61, 'losing_trades': 57, 'sharpe_ratio': 0.11445985434445864}
CTRA: {'final_portfolio_value': 15222.31880612417, 'Portfolio cumulative percent gain': 52.22318806124171, 'Stock percent gain': 23.532132917602436, 'total_trades': 134, 'winning_trades': 70, 'losing_trades': 63, 'sharpe_ratio': 2.8382990788899263}
HUM: {'final_portfolio_value': 12817.20837765554, 'Portfolio cumulative percent gain': 28.17208377655539, 'Stock percent gain': -0.31591518044474187, 'total_trades': 99, 'winning_trades': 57, 'losing_trades': 41, 'sharpe_ratio': 3.22992699033752}
GL: {'final_portfolio_value': 11504.277737537877, 'Portfolio cumulative percent gain': 15.042777375378774, 'Stock percent gain': -12.798899883787053, 'total_trades': 106, 'winning_trades': 56, 'losing_trades': 49, 'sharpe_ratio': 0.2707621500889076}
GIS: {'final_portfolio_value': 12068.018787558356, 'Portfolio cumulative percent gain': 20.68018787558356, 'Stock percent gain': -6.88959205610431, 'total_trades': 105, 'winning_trades': 62, 'losing_trades': 43, 'sharpe_ratio': 0.8239713631970398}
